amenity,name,lon,lat
school,Colegio Jesús María,-75.5942011,6.2548001
place_of_worship,San Juan Evangelista,-75.5814361,6.2553666
police,La Macarena,-75.5813266,6.2498132
hospital,Clínica del CES,-75.5653877,6.2575492
hospital,,-75.5611069,6.2615485
police,CAI La Milagrosa,-75.5555878,6.235412
bank,Bancolombia Santillana,-75.572455,6.2018676
bank,Helm Bank,-75.5717745,6.2065235
bank,Davivienda,-75.5739532,6.1970266
bank,BBVA,-75.5737815,6.1970373
bank,Bancolombia,-75.5751226,6.2287734
bank,Bancolombia,-75.5742482,6.1965626
bank,Bancolombia,-75.5746989,6.1989732
bank,Banco Pichincha,-75.5771533,6.1902118
place_of_worship,Rosa Mística,-75.576075,6.1936197
bank,Bancolombia,-75.5697789,6.2120447
school,I. E. José Horacio Batancur,-75.6275332,6.2749593
school,Escuela José de San Martín,-75.5627594,6.2371266
school,Escuela Divino Salvador,-75.5622015,6.2387903
nightclub,Baranova Discoteka,-75.6350364,6.2789461
nightclub,Discoteca Camelot,-75.6350594,6.2789961
place_of_worship,Iglesia San Lucas,-75.5629075,6.1791315
hospital,Clínica Conquistadores,-75.5828719,6.2408113
hospital,Centro Médico Nueva Vida,-75.5842167,6.2840212
place_of_worship,Iglesia Nuestra Señora del Santisimo Sacramento,-75.5461252,6.2344263
pharmacy,,-75.560866,6.2776153
place_of_worship,Iglesia del Padre Marianito,-75.5565314,6.2144588
pharmacy,Famacia Zuluar,-75.6015366,6.2256982
police,Estacion de Policia Laureles,-75.5950112,6.2480192
community_centre,Corporación construyendo,-75.5820653,6.2944196
clinic,Serad,-75.561627,6.260079
community_centre,Corporación picacho con Futuro,-75.5822971,6.3084326
pharmacy,,-75.5622511,6.1863772
place_of_worship,Parroquia San Alberto Magno,-75.5420568,6.2272682
police,Estación de Policía Buenos Aires,-75.5399226,6.2313275
place_of_worship,Parroquia San Joaquín y Santa Ana,-75.5452293,6.2306293
hospital,Centro de Salud Loreto,-75.5559039,6.2331177
school,Institución Educativa Loreto,-75.5596332,6.2315989
place_of_worship,Parroquia La Visitación,-75.5653331,6.1962132
bus_station,,-75.5358527,6.2685204
bank,Bancolombia Unicentro,-75.5862968,6.2408761
bank,Banco de Bogota Unicentro,-75.5864629,6.2406042
